Collecting data to data/collection_20260202_024420.jsonl
Press Ctrl+C to stop

[  10] BRTI: $76,796.57 | Kalshi: 0.28
[1100] BRTI: $77,729.11 | Kalshi: 0.68
[1110] BRTI: $77,854.44 | Kalshi: 0.88
[1120] BRTI: $77,881.78 | Kalshi: 0.99
[1130] BRTI: $77,931.91 | Kalshi: 0.59
[1140] BRTI: $77,993.94 | Kalshi: 0.74
[1150] BRTI: $78,172.26 | Kalshi: 0.97
[1160] BRTI: $78,043.97 | Kalshi: 0.24
[1170] BRTI: $77,824.40 | Kalshi: 0.04
[1180] BRTI: $77,842.96 | Kalshi: 0.00
[1190] BRTI: $77,837.86 | Kalshi: 0.55
[1200] BRTI: $77,805.98 | Kalshi: 0.59
[1210] BRTI: $77,977.84 | Kalshi: 0.99
[1220] BRTI: $77,808.76 | Kalshi: 0.27
[1230] BRTI: $77,819.13 | Kalshi: 0.15
[1240] BRTI: $77,849.81 | Kalshi: 0.01
[1250] BRTI: $77,828.22 | Kalshi: 0.52
[1260] BRTI: $78,004.40 | Kalshi: 0.89
[1270] BRTI: $77,945.45 | Kalshi: 0.91
[1280] BRTI: $77,812.66 | Kalshi: 0.36
[1290] BRTI: $77,894.43 | Kalshi: 0.66
[1300] BRTI: $77,886.13 | Kalshi: 0.05
[1310] BRTI: $77,837.88 | Kalshi: 0.52
[1320] BRTI: $77,952.02 | Kalshi: 0.80
[1330] BRTI: $78,291.84 | Kalshi: 0.99
[1340] BRTI: $78,050.35 | Kalshi: 0.12
[1350] BRTI: $77,939.23 | Kalshi: 0.01
[1360] BRTI: $77,730.33 | Kalshi: 0.00
[1370] BRTI: $77,649.94 | Kalshi: 0.30
[1380] BRTI: $78,036.13 | Kalshi: 0.98
[1390] BRTI: $77,969.15 | Kalshi: 0.99
[1400] BRTI: $78,245.04 | Kalshi: 0.82
[1410] BRTI: $78,497.40 | Kalshi: 0.93
[1420] BRTI: $78,491.06 | Kalshi: 0.45
[1430] BRTI: $78,268.65 | Kalshi: 0.28
[1440] BRTI: $78,262.58 | Kalshi: 0.21
[1450] BRTI: $77,740.54 | Kalshi: 0.31
[1460] BRTI: $77,836.71 | Kalshi: 0.56
[1470] BRTI: $78,195.09 | Kalshi: 0.95
[1480] BRTI: $78,193.10 | Kalshi: 0.29
[1490] BRTI: $78,398.55 | Kalshi: 0.76
[1500] BRTI: $78,865.32 | Kalshi: 0.99
[1510] BRTI: $78,468.54 | Kalshi: 0.32
[1520] BRTI: $78,528.31 | Kalshi: 0.29
[1530] BRTI: $79,206.86 | Kalshi: 0.97
[1540] BRTI: $78,971.75 | Kalshi: 0.52
[1550] BRTI: $78,979.01 | Kalshi: 0.59
[1560] BRTI: $78,825.19 | Kalshi: 0.06
[1570] BRTI: $78,754.93 | Kalshi: 0.52
[1580] BRTI: $78,663.91 | Kalshi: 0.32
[1590] BRTI: $79,092.33 | Kalshi: 0.97
[1600] BRTI: $79,213.16 | Kalshi: 0.65
[1610] BRTI: $79,031.09 | Kalshi: 0.36
[1620] BRTI: $78,921.60 | Kalshi: 0.06
[1630] BRTI: $79,024.64 | Kalshi: 0.58
[1640] BRTI: $79,032.20 | Kalshi: 0.53
[1650] BRTI: $78,845.18 | Kalshi: 0.06
[1660] BRTI: $79,000.47 | Kalshi: 0.41
[1670] BRTI: $78,674.07 | Kalshi: 0.07
[1680] BRTI: $78,647.25 | Kalshi: 0.00
[1690] BRTI: $78,919.99 | Kalshi: 0.89
[1700] BRTI: $78,817.65 | Kalshi: 0.89
[1710] BRTI: $78,925.49 | Kalshi: 0.99
[1720] BRTI: $78,962.88 | Kalshi: 0.49
[1730] BRTI: $79,179.82 | Kalshi: 0.90
[1740] BRTI: $78,985.22 | Kalshi: 0.90
[1750] BRTI: $79,020.23 | Kalshi: 0.71
[1760] BRTI: $78,988.05 | Kalshi: 0.61
[1770] BRTI: $78,824.72 | Kalshi: 0.00
[1780] BRTI: $78,989.56 | Kalshi: 0.78
